OTU ID	ARM1	ARM2	ARM3	ARM4	ARM5	BRM1	BRM2	BRM4	BRM5	CRM1	CRM2	CRM3	CRM4	CRM5	DRM1	DRM2	DRM4	DRM5
PWY-6581	28	67	50	87	115	29	188	66	103	9	36	54	13	23	28	49	54	45
PWY-6588	37	43	42	131	57	380	73	183	20	73	150	81	78	124	191	265	58	202
PWY-6590	467	280	460	359	235	270	532	367	148	308	341	232	303	553	582	148	292	453
PWY-6608	5990	10866	10629	6963	5252	5656	8255	6886	10585	5943	4249	8410	3604	10808	6645	6036	8531	6051
PWY-6609	13538	9851	10727	12815	16021	13606	15341	12609	9377	15900	19542	12415	17516	12947	15693	12458	11671	14266
PWY-6612	11766	9725	10113	11423	14323	12487	11746	12096	11449	13313	14701	11375	15037	11178	12129	11934	11517	13018
PWY-6628	5483	3589	5035	3742	3465	1860	7636	3949	5404	7360	2395	9968	2065	4226	8000	3072	4982	3074
PWY-6629	4	0	16	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6630	5446	3581	5097	3823	3503	1780	7669	3961	5359	7297	2400	9900	2068	4221	8038	3010	5017	3070
PWY-6641	152	153	183	207	89	62	353	233	73	31	44	273	30	416	224	188	168	237
PWY-6690	24	3	3	28	7	1	0	8	2	0	1	8	0	0	0	7	11	11
PWY-6700	11545	12284	12463	11258	10775	9622	10095	10721	10897	9289	8964	10876	8604	11506	9360	10866	11577	8985
PWY-6703	9141	11071	11041	9155	10101	6263	6941	10812	10933	8722	7470	8681	8851	10566	7718	8599	10805	8881
PWY-6708	5891	8315	6513	5869	3934	7811	4573	4535	4838	4752	2255	6773	2142	5157	4889	5890	4996	4170
PWY-6713	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6728	186	65	454	509	384	1131	1414	1261	861	1876	683	672	889	996	1116	274	280	1255
PWY-6731	84	600	413	437	295	866	420	328	1093	130	137	346	48	492	349	565	264	443
PWY-6737	9451	8464	7984	7559	6366	7193	7140	9005	5991	8576	4901	7932	4307	8147	9546	7124	6932	8690
PWY-6749	494	171	318	472	164	288	238	327	146	411	137	208	305	221	241	261	331	577
PWY-6876	33	42	43	106	53	23	79	166	1	26	154	83	66	106	189	289	67	94
PWY-6891	733	29	57	544	34	62	123	56	47	63	96	1278	78	119	1885	15	19	114
PWY-6892	4655	1234	3890	1104	6383	3723	3152	4610	936	4964	4515	4639	2880	2550	4489	1818	2793	2049
PWY-6895	2945	129	278	2437	179	327	589	281	243	372	521	4691	416	575	6274	68	143	555
PWY-6897	12890	12943	12908	12721	12459	9699	10750	12621	12112	12866	10417	12247	8466	12224	11593	12431	12553	11497
PWY-6901	8424	5043	6546	7485	6100	5939	4976	6426	4925	5049	4334	6691	3621	5867	6203	6385	6102	5871
PWY-6906	312	2	9	5	4	22	44	35	0	8	49	905	0	74	1313	0	0	72
PWY-6944	107	3	0	72	5	1	39	87	0	1	59	118	0	53	113	8	91	26
PWY-6948	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0
PWY-6956	27	4	17	46	0	0	39	0	0	4	3	36	0	0	0	5	39	23
PWY-6969	17651	18182	17759	18948	18410	19674	17086	17492	16785	17895	17106	17051	18010	17487	15974	18736	18997	17723
PWY-6992	0	26	7	0	15	147	38	165	0	7	0	11	3	24	5	30	11	70
PWY-7003	86	52	24	71	126	311	166	170	57	150	147	26	110	157	306	67	146	426
PWY-7007	659	970	738	1296	499	665	682	400	624	416	274	568	135	577	241	1300	731	885
PWY-7013	0	0	0	0	21	0	11	28	0	0	7	16	0	3	0	64	0	0
PWY-7024	33	3	5	12	2	7	110	46	19	12	54	86	23	29	57	0	9	54
PWY-7046	10	6	13	18	16	13	3	7	0	6	12	10	0	11	9	17	18	0
PWY-7084	8	42	9	31	28	0	10	0	0	0	4	7	3	2	0	13	6	0
PWY-7090	679	251	349	589	526	215	237	282	220	92	224	405	194	354	365	462	564	278
PWY-7094	9069	10212	10357	10697	5199	4970	7527	6483	6870	4305	4286	9733	3093	8065	7509	9711	8854	6972
PWY-7097	512	62	294	282	130	29	169	173	0	8	72	389	33	94	83	94	426	36
PWY-7098	558	76	299	324	129	39	187	229	0	16	78	459	45	103	101	91	477	40
PWY-7111	22198	24881	23045	21885	23850	19653	22510	22047	20440	23351	25643	21959	24075	21610	21558	21932	21817	21967
PWY-7159	1455	2140	2438	2505	1825	1753	1367	1675	3073	751	525	1536	691	1627	799	1974	1381	1209
PWY-7184	16218	14465	13762	15934	19260	19614	17955	15511	14368	18424	21998	15067	21207	15558	16306	16588	15555	17381
PWY-7187	7328	6334	7840	4856	7857	7465	8173	11548	9727	11956	8472	8773	13317	10465	10347	7328	9857	11487
PWY-7196	7837	5647	8773	8089	6842	8993	8325	7983	6592	7646	5811	7347	5380	10118	10097	6790	8547	8302
PWY-7197	15224	14778	14608	15605	18355	18614	16471	15431	15407	17212	20732	14648	20327	15192	15267	15880	15844	16282
